wl,n
0.234,2.629
0.236,2.807
0.238,3.003
0.240,3.210
0.242,3.435
0.244,3.593
0.246,3.729
0.248,3.816
0.250,3.909
0.252,3.978
0.254,4.038
0.256,4.117
0.258,4.194
0.260,4.216
0.262,4.302
0.264,4.306
0.266,4.289
0.268,4.257
0.270,4.209
0.272,4.157
0.274,4.112
0.276,4.060
0.278,4.025
0.280,3.989
0.282,3.954
0.284,3.926
0.286,3.898
0.288,3.878
0.290,3.862
0.292,3.855
0.294,3.842
0.296,3.836
0.298,3.833
0.300,3.834
0.302,3.838
0.304,3.844
0.306,3.852
0.308,3.865
0.310,3.886
0.312,3.907
0.314,3.937
0.316,3.963
0.318,4.001
0.320,4.055
0.322,4.122
0.324,4.219
0.326,4.357
0.328,4.516
0.330,4.710
0.332,4.924
0.334,5.137
0.336,5.309
0.338,5.434
0.340,5.483
0.342,5.472
0.344,5.417
0.346,5.344
0.348,5.264
0.350,5.186
0.352,5.107
0.354,5.036
0.356,4.970
0.358,4.906
0.360,4.853
0.362,4.799
0.364,4.749
0.366,4.702
0.368,4.657
0.370,4.615
0.372,4.577
0.374,4.540
0.376,4.504
0.378,4.474
0.380,4.439
0.382,4.405
0.384,4.376
0.386,4.351
0.388,4.324
0.390,4.301
0.392,4.276
0.394,4.257
0.396,4.234
0.398,4.214
0.400,4.194
0.402,4.174
0.404,4.155
0.406,4.138
0.408,4.122
0.410,4.106
0.412,4.090
0.414,4.077
0.416,4.063
0.418,4.049
0.420,4.036
0.422,4.025
0.424,4.013
0.426,3.995
0.428,3.987
0.430,3.980
0.432,3.969
0.434,3.961
0.436,3.953
0.438,3.945
0.440,3.938
0.442,3.929
0.444,3.917
0.446,3.904
0.448,3.890
0.450,3.875
0.455,3.839
0.460,3.798
0.465,3.761
0.470,3.729
0.475,3.702
0.480,3.677
0.485,3.649
0.490,3.628
0.495,3.609
0.500,3.590
0.505,3.573
0.510,3.557
0.515,3.541
0.520,3.527
0.525,3.514
0.530,3.502
0.535,3.486
0.540,3.476
0.545,3.463
0.550,3.452
0.555,3.441
0.560,3.431
0.565,3.422
0.570,3.410
0.575,3.403
0.580,3.393
0.585,3.384
0.590,3.375
0.595,3.368
0.600,3.361
0.605,3.355
0.610,3.347
0.615,3.341
0.620,3.335
0.625,3.329
0.630,3.319
0.635,3.315
0.640,3.310
0.645,3.304
0.650,3.300
0.655,3.295
0.660,3.290
0.665,3.284
0.670,3.280
0.675,3.276
0.680,3.273
0.685,3.270
0.690,3.263
0.695,3.260
0.700,3.257
0.705,3.253
0.710,3.249
0.715,3.247
0.720,3.240
0.725,3.238
0.730,3.233
0.735,3.230
0.740,3.227
0.745,3.224
0.750,3.222
0.755,3.220
0.760,3.217
0.765,3.213
0.770,3.210
0.775,3.207
